"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"ELIAS LINDHOLM","","C","27","R","CGY","82","42","40","82","1.00","82","82","9","19","02:53","60.5","19:57","235","61","22","2","$5.85M","$4.85M","$4.85M"
"SAM REINHART","","R","26","R","FLA","78","33","49","82","1.05","82","86","6","31","03:21","65.5","17:46","186","25","13","2","$5M","$6.5M","$6.5M"
"JOE PAVELSKI","","R","38","R","DAL","82","27","54","81","0.99","81","81","2","25","02:44","57.1","18:28","216","11","14","1","$8M","$7M","$7M"
"SEBASTIAN AHO","","C","24","L","CAR","79","37","44","81","1.03","81","84","9","28","02:58","66.2","18:57","221","19","38","2","$7.7M","$8.46M","$8.46M"
"MIKA ZIBANEJAD","","C","29","R","NYR","81","29","52","81","1.00","81","82","3","28","02:59","71.7","19:38","219","30","12","6","$4.75M","$5.35M","$5.35M"
"BRAD MARCHAND","","L","34","L","BOS","70","32","48","80","1.14","80","94","6","27","03:25","70.3","19:15","242","16","92","3","$6.5M","$6.13M","$6.13M"
"WILLIAM NYLANDER","","L","26","R","TOR","81","34","46","80","0.99","80","81","7","31","03:01","69.5","18:16","256","-9","16","2","$6M","$6.96M","$6.96M"
"JASON ROBERTSON","","L","22","L","DAL","74","41","38","79","1.07","79","88","11","21","02:41","56.5","18:07","220","16","22","0","$0.75M","$0.8M","$0.89M"
"MATS ZUCCARELLO","","R","34","L","MIN","70","24","55","79","1.13","79","93","2","28","03:06","61.9","18:36","159","21","24","2","$7.5M","$6M","$6M"
"EVGENY KUZNETSOV","","C","30","L","WSH","79","24","54","78","0.99","78","81","4","27","03:43","72.9","20:17","208","6","44","3","$8M","$7.8M","$7.8M"
"ALEX DEBRINCAT","","L","24","R","OTT","82","41","37","78","0.95","78","78","6","28","03:37","71.1","20:51","270","-13","19","1","$5.1M","$6.4M","$6.4M"
"CHRIS KREIDER","","L","31","L","NYR","81","52","25","77","0.95","77","78","11","35","02:58","71.1","18:43","258","20","24","5","$9.5M","$6.5M","$6.5M"
"DAVID PASTRNAK","","R","26","R","BOS","72","40","37","77","1.07","77","88","9","26","03:33","75.4","18:36","312","13","20","1","$6.8M","$6.67M","$6.67M"
"PAVEL BUCHNEVICH","","L","27","L","STL","73","30","46","76","1.04","76","85","3","19","02:15","48.1","18:18","199","29","32","3","$4.5M","$5.8M","$5.8M"
"TIMO MEIER","","L","25","L","S.J","77","35","41","76","0.99","76","81","8","18","02:39","59.1","19:10","326","-4","54","1","$6M","$6M","$6M"
"JOHN TAVARES","","C","31","L","TOR","79","27","49","76","0.96","76","79","3","26","03:00","69.4","18:04","237","-7","32","3","$9.35M","$11M","$11M"
"ROBERT THOMAS","","C","23","R","STL","72","20","56","76","1.06","76","87","6","14","02:03","45.0","18:46","115","17","16","6","$2.4M","$2.8M","$2.8M"
"JORDAN KYROU","","R","24","R","STL","74","27","48","75","1.01","75","83","4","19","01:54","40.2","16:35","188","10","20","1","$2.4M","$2.8M","$2.8M"
"ADAM FOX","","D","24","R","NYR","78","11","63","74","0.95","74","78","2","33","02:56","70.7","23:53","158","20","26","6","$0.93M","$0.93M","$1.78M"
"JESPER BRATT","","R","23","L","N.J","76","26","47","73","0.96","73","79","6","18","02:43","59.2","17:26","197","0","16","0","$3.45M","$2.75M","$2.75M"
"ROOPE HINTZ","","C","25","L","DAL","80","37","35","72","0.90","72","74","7","24","02:32","52.7","18:02","213","15","28","1","$3M","$3.15M","$3.15M"
"JOHN CARLSON","","D","32","R","WSH","78","17","54","71","0.91","71","75","2","25","03:58","76.1","23:49","195","13","20","4","$8M","$8M","$8M"
"MARK SCHEIFELE","","C","29","R","WPG","67","29","41","70","1.04","70","86","3","18","03:28","67.3","21:08","159","-16","23","2","$6.75M","$6.13M","$6.13M"
"ANDREI SVECHNIKOV","","L","22","L","CAR","78","30","39","69","0.88","69","73","5","22","02:52","63.7","17:16","249","20","79","6","$6M","$7.75M","$7.75M"
"NIKITA KUCHEROV","","R","29","L","T.B","47","25","44","69","1.47","69","120","1","30","03:54","74.7","19:59","156","0","22","5","$12M","$9.5M","$9.5M"
"DYLAN LARKIN","","C","25","L","DET","71","31","38","69","0.97","69","80","4","13","02:52","60.2","19:39","212","-17","47","1","$6.75M","$6.1M","$6.1M"
"KRIS LETANG","","D","35","R","PIT","78","10","58","68","0.87","68","71","3","22","03:29","74.3","25:47","214","19","49","6","$7.25M","$7.25M","$7.25M"
"QUINN HUGHES","","D","22","L","VAN","76","8","60","68","0.89","68","73","1","31","03:29","71.2","25:15","150","11","28","5","$4M","$7.85M","$7.85M"
"ELIAS PETTERSSON","","C","23","L","VAN","80","32","36","68","0.85","68","70","3","27","03:14","65.8","18:36","192","2","12","2","$4M","$7.35M","$7.35M"
"MORGAN RIELLY","","D","28","L","TOR","82","10","58","68","0.83","68","68","3","23","02:54","67.1","23:44","221","16","40","6","$5M","$5M","$5M"
"TAGE THOMPSON","","C","24","R","BUF","78","38","30","68","0.87","68","71","4","16","02:38","57.3","17:53","253","-17","37","1","$1.4M","$1.4M","$1.4M"
"BRADY TKACHUK","","L","22","L","OTT","79","30","37","67","0.85","67","70","3","18","03:11","65.1","18:48","288","-8","117","6","$4M","$8.33M","$8.33M"
"ANZE KOPITAR","","C","34","L","L.A","81","19","48","67","0.83","67","68","4","22","03:20","63.8","20:46","210","-6","14","2","$8M","$10M","$10M"
"TROY TERRY","","R","24","R","ANA","75","37","30","67","0.89","67","73","7","15","02:03","45.4","18:14","192","-11","26","1","$1.45M","$1.45M","$1.45M"
"JONATHAN MARCHESSAULT","","L","31","R","VGK","76","30","36","66","0.87","66","71","4","20","02:08","48.5","17:35","251","3","36","2","$5M","$5M","$5M"
"TEUVO TERAVAINEN","","L","27","L","CAR","77","22","43","65","0.84","65","69","2","31","02:57","64.8","17:42","202","22","24","2","$5.88M","$5.4M","$5.4M"
"RYAN HARTMAN","","C","27","R","MIN","82","34","31","65","0.79","65","65","7","8","02:21","45.4","18:11","239","31","95","2","$1.1M","$1.7M","$1.7M"
"PATRICE BERGERON","","C","36","R","BOS","73","25","40","65","0.89","65","73","4","23","03:02","65.2","18:11","293","25","32","0","$4.38M","$6.88M","$6.88M"
"CLAUDE GIROUX","","R","34","R","OTT","75","21","43","64","0.85","64","70","0","23","03:13","63.5","19:03","205","-6","26","3","$5M","$8.28M","$8.28M"
"MIKAEL GRANLUND","","C","30","L","NSH","80","11","53","64","0.80","64","66","3","28","03:08","64.1","20:25","117","-9","33","3","$4M","$5M","$5M"
"TOMAS HERTL","","C","28","L","S.J","82","30","34","64","0.78","64","64","6","16","02:30","56.6","19:57","205","-9","30","6","$5.5M","$5.63M","$5.63M"
"CHANDLER STEPHENSON","","C","28","L","VGK","79","21","43","64","0.81","64","66","3","14","02:15","51.7","19:18","125","5","26","2","$3.03M","$2.75M","$2.75M"
"CLAYTON KELLER","","L","23","L","ARI","67","28","35","63","0.94","63","77","2","11","02:53","67.9","20:08","177","2","28","6","$7M","$7.15M","$7.15M"
"JEFF SKINNER","","L","30","L","BUF","80","33","30","63","0.79","63","65","4","11","02:49","59.3","17:05","262","-14","42","5","$10M","$9M","$9M"
"MICHAEL BUNTING","","L","26","L","TOR","79","23","40","63","0.80","63","65","2","5","01:17","29.7","15:32","175","28","80","1","$0.75M","$0.95M","$0.95M"
"RYAN JOHANSEN","","C","29","R","NSH","79","26","37","63","0.80","63","65","6","24","03:02","61.7","16:34","118","-2","53","3","$8M","$8M","$8M"
"TYLER BERTUZZI","","L","27","L","DET","68","30","32","62","0.91","62","75","5","14","02:57","60.9","19:52","180","-11","47","1","$4.25M","$4.75M","$4.75M"
"JAKUB VORACEK","","R","32","L","CBJ","79","6","56","62","0.78","62","64","2","25","03:12","69.6","17:27","147","-13","44","2","$7.5M","$8.25M","$8.25M"
"ANDRE BURAKOVSKY","","L","27","L","SEA","80","22","39","61","0.76","61","63","5","11","02:01","36.9","16:16","149","12","18","5","$5.4M","$4.9M","$4.9M"
"NICK SUZUKI","","C","22","R","MTL","82","21","40","61","0.74","61","61","4","20","03:05","62.0","20:30","186","-29","30","6","$0.83M","$0.86M","$1.33M"
"TREVOR ZEGRAS","","C","21","L","ANA","75","23","38","61","0.81","61","67","5","17","02:38","58.7","17:54","181","-21","50","1","$0.93M","$0.93M","$1.78M"
"TAYLOR HALL","","L","30","L","BOS","81","20","41","61","0.75","61","62","3","15","02:50","59.8","16:25","217","11","42","3","$4.5M","$6M","$6M"
"BLAKE WHEELER","","R","35","R","WPG","65","17","43","60","0.92","60","76","2","20","03:10","65.5","19:32","167","-16","36","2","$10M","$8.25M","$8.25M"
"PIERRE-LUC DUBOIS","","C","24","L","WPG","81","28","32","60","0.74","60","61","6","18","03:07","63.4","18:56","233","-6","106","0","$6.65M","$5M","$5M"
"IVAN BARBASHEV","","L","26","L","STL","81","26","34","60","0.74","60","61","2","9","01:29","31.9","16:27","111","4","40","1","$1.9M","$2.25M","$2.25M"
"NICO HISCHIER","","C","23","L","N.J","70","21","39","60","0.86","60","70","2","12","02:49","61.5","19:21","153","-1","17","5","$7.25M","$7.25M","$7.25M"
"ALEX KILLORN","","R","32","L","T.B","82","25","34","59","0.72","59","59","2","14","03:14","61.7","18:42","164","0","66","1","$4.45M","$4.45M","$4.45M"
"NICK SCHMALTZ","","R","26","R","ARI","63","23","36","59","0.94","59","77","4","8","02:24","55.7","18:15","123","1","14","4","$6M","$5.85M","$5.85M"
"GABRIEL LANDESKOG","","L","29","L","COL","51","30","29","59","1.16","59","95","5","15","03:59","70.5","20:19","150","27","78","6","$6M","$7M","$7M"
"BROCK NELSON","","C","30","L","NYI","72","37","22","59","0.82","59","67","5","14","02:15","53.3","17:40","171","-5","33","3","$8M","$6M","$6M"
"MATHEW BARZAL","","C","25","R","NYI","73","15","44","59","0.81","59","66","1","20","02:39","62.9","18:01","161","-15","18","1","$7M","$7M","$7M"
"BRYAN RUST","","R","30","R","PIT","60","24","34","58","0.97","58","79","1","21","03:26","67.1","18:46","180","7","14","6","$3.5M","$3.5M","$3.5M"
"BRAYDEN POINT","","C","26","R","T.B","66","28","30","58","0.88","58","72","4","22","03:36","69.4","19:27","175","-5","33","6","$9M","$6.75M","$6.75M"
"TIM STUTZLE","","L","20","L","OTT","79","22","36","58","0.73","58","60","4","27","03:15","67.2","18:25","176","-27","37","1","$0.93M","$0.93M","$3.43M"
"BRAYDEN SCHENN","","C","30","L","STL","62","24","34","58","0.94","58","77","3","17","02:24","52.5","17:47","111","21","33","6","$8M","$6.5M","$6.5M"
"RYAN O'REILLY","","C","31","L","STL","78","21","37","58","0.74","58","61","0","16","02:36","54.9","19:05","168","11","12","1","$6M","$7.5M","$7.5M"
"ANTHONY DUCLAIR","","R","26","L","FLA","74","31","27","58","0.78","58","64","5","21","02:33","51.4","15:01","167","19","30","2","$2M","$3M","$3M"
"LUCAS RAYMOND","","R","20","R","DET","82","23","34","57","0.70","57","57","2","18","02:48","59.8","18:09","184","-32","16","2","$0.93M","$0.93M","$3.43M"
"AARON EKBLAD","","D","26","R","FLA","61","15","42","57","0.93","57","77","2","20","03:31","69.5","24:55","179","38","26","3","$9M","$7.5M","$7.5M"
"DAVID PERRON","","R","34","R","DET","67","27","30","57","0.85","57","70","2","26","02:41","58.6","16:59","177","8","50","2","$3.41M","$4M","$4M"
"DEVON TOEWS","","D","28","L","COL","66","13","44","57","0.86","57","71","3","12","01:43","32.7","25:22","158","52","20","2","$3.55M","$4.1M","$4.1M"
"OLIVER BJORKSTRAND","","R","27","R","CBJ","80","28","29","57","0.71","57","58","1","19","03:07","67.9","17:57","215","-35","16","4","$4.5M","$5.4M","$5.4M"
"PATRIK LAINE","","R","24","R","CBJ","56","26","30","56","1.00","56","82","7","14","03:25","72.6","18:50","167","-7","24","0","$7.5M","$7.5M","$7.5M"
"LOGAN COUTURE","","C","33","L","S.J","77","23","33","56","0.73","56","60","3","17","02:28","56.4","18:56","199","-11","18","5","$9M","$8M","$8M"
"JACK HUGHES","","C","21","L","N.J","49","26","30","56","1.14","56","94","2","14","02:53","61.6","19:34","165","-16","0","6","$0.93M","$0.93M","$3.78M"
"CHARLIE MCAVOY","","D","24","R","BOS","78","10","46","56","0.72","56","59","5","21","03:07","65.2","24:40","166","31","66","6","$7.3M","$4.9M","$4.9M"
"NIKOLAJ EHLERS","","L","26","L","WPG","62","28","27","55","0.89","55","73","2","9","02:14","44.4","18:04","245","19","20","3","$6.5M","$6M","$6M"
"JOSH NORRIS","","C","23","L","OTT","66","35","20","55","0.83","55","68","8","23","03:14","65.6","18:35","172","-8","16","6","$0.93M","$0.93M","$1.63M"
"RYAN STROME","","C","29","R","ANA","74","21","34","55","0.74","55","61","5","14","02:47","68.4","18:19","161","15","69","5","$5M","$4.5M","$4.5M"
"ANDREW MANGIAPANE","","L","26","L","CGY","82","35","20","55","0.67","55","55","8","11","01:48","37.7","15:44","185","19","38","0","$2.45M","$2.43M","$2.43M"
"CARTER VERHAEGHE","","L","26","L","FLA","78","24","31","55","0.71","55","58","4","3","01:06","22.1","16:02","166","24","48","3","$1.1M","$1M","$1M"
"BRENT BURNS","","D","37","R","CAR","82","10","44","54","0.66","54","54","0","18","02:39","60.2","26:09","203","-16","42","3","$7.5M","$8M","$8M"
"ADRIAN KEMPE","","R","25","L","L.A","78","35","19","54","0.69","54","57","7","16","02:57","57.2","18:35","247","-2","46","4","$2.5M","$2M","$2M"
"ZACH HYMAN","","R","30","R","EDM","76","27","27","54","0.71","54","58","4","10","02:24","52.9","19:28","213","-9","36","6","$2.55M","$5.5M","$5.5M"
"RASMUS DAHLIN","","D","22","L","BUF","80","13","40","53","0.66","53","54","3","21","03:05","65.5","24:02","171","-22","68","2","$5M","$6M","$6M"
"ANDREW COPP","","R","28","L","DET","72","21","32","53","0.74","53","60","5","10","02:14","45.5","19:11","183","16","16","5","$3.64M","$3.64M","$3.64M"
"GUSTAV NYQUIST","","L","32","L","CBJ","82","18","35","53","0.65","53","53","0","10","01:50","39.8","17:51","122","-12","26","1","$6M","$5.5M","$5.5M"
"VALERI NICHUSHKIN","","R","27","L","COL","62","25","27","52","0.84","52","69","5","9","02:20","43.2","19:02","180","21","14","6","$2.8M","$2.5M","$2.5M"
"CONOR GARLAND","","L","26","R","VAN","77","19","33","52","0.68","52","55","3","3","01:36","33.1","16:24","203","17","36","4","$3.75M","$4.95M","$4.95M"
"BO HORVAT","","C","27","L","VAN","70","31","21","52","0.74","52","61","4","19","03:15","64.6","19:30","194","3","40","1","$5.78M","$5.5M","$5.5M"
"SHEA THEODORE","","D","26","L","VGK","78","14","38","52","0.67","52","55","5","12","02:28","57.2","23:08","205","6","24","3","$5.2M","$5.2M","$5.2M"
"PHIL KESSEL","","R","34","R","","82","8","44","52","0.63","104","52","0","14","02:44","64.9","16:41","175","-24","40","0","$6M","$8M","$8M"
"TOM WILSON","","R","28","R","WSH","78","24","28","52","0.67","52","55","5","10","02:31","49.5","18:35","151","13","98","2","$6.1M","$5.17M","$5.17M"
"TRAVIS KONECNY","","R","25","R","PHI","79","16","36","52","0.66","52","54","3","10","02:44","53.0","17:37","220","-23","77","3","$5.25M","$5.5M","$5.5M"
"VINCENT TROCHECK","","C","29","R","NYR","81","21","30","51","0.63","51","52","3","12","02:53","63.9","17:52","168","21","78","6","$6.25M","$4.75M","$4.75M"
"PHILLIP DANAULT","","C","29","L","L.A","79","27","24","51","0.65","51","53","5","4","02:03","40.3","18:08","194","14","38","5","$4M","$5.5M","$5.5M"
"SETH JONES","","D","27","R","CHI","78","5","46","51","0.65","51","54","0","19","03:24","67.9","26:13","194","-37","28","6","$5.4M","$5.4M","$5.4M"
"SHAYNE GOSTISBEHERE","","D","29","L","ARI","82","14","37","51","0.62","51","51","2","19","02:51","67.8","22:11","151","-22","26","1","$3.25M","$4.5M","$4.5M"
"ALEXANDER KERFOOT","","L","27","L","TOR","82","13","38","51","0.62","51","51","1","1","00:07","2.6","15:13","117","19","20","1","$2.7M","$3.5M","$3.5M"
"TONY DEANGELO","","D","26","R","PHI","64","10","41","51","0.80","51","65","2","20","03:03","67.5","19:48","151","31","56","2","$1M","$1M","$1M"
"NOAH DOBSON","","D","22","R","NYI","80","13","38","51","0.64","51","52","4","22","02:37","64.0","21:28","190","-3","18","0","$0.83M","$0.89M","$1.43M"
"CAM ATKINSON","","R","33","R","PHI","73","23","27","50","0.68","50","56","6","5","02:41","53.0","18:14","215","-2","10","3","$5.28M","$5.88M","$5.88M"
"RASMUS ANDERSSON","","D","25","R","CGY","82","4","46","50","0.61","50","50","1","19","02:49","59.2","22:40","152","30","28","4","$4.05M","$4.55M","$4.55M"
"JOEL ERIKSSON EK","","C","25","L","MIN","77","26","24","50","0.65","50","53","3","17","02:59","57.3","18:35","223","16","28","6","$3M","$5.25M","$5.25M"
"MORITZ SEIDER","","D","21","R","DET","82","7","43","50","0.61","50","50","4","21","02:53","61.8","23:02","187","-8","34","2","$0.93M","$0.86M","$1.71M"
"RYAN NUGENT-HOPKINS","","C","29","L","EDM","63","11","39","50","0.79","50","65","1","23","03:28","80.3","19:19","154","3","16","6","$5M","$5.13M","$5.13M"
"JARED MCCANN","","L","26","L","SEA","74","27","23","50","0.68","50","55","1","17","02:36","57.1","16:08","199","-25","33","5","$3.38M","$2.94M","$2.94M"
"VICTOR OLOFSSON","","R","27","L","BUF","72","20","29","49","0.68","49","56","6","12","02:14","47.6","15:21","164","-17","6","2","$3.25M","$3.05M","$3.05M"
"BRANDON SAAD","","L","29","L","STL","78","24","25","49","0.63","49","52","1","13","01:39","35.6","16:16","158","11","10","4","$4.5M","$4.5M","$4.5M"
"TREVOR MOORE","","R","27","L","L.A","81","17","32","49","0.60","49","50","1","2","01:02","20.1","15:41","202","21","20","1","$1.5M","$1.88M","$1.88M"
"SAM BENNETT","","C","26","L","FLA","71","28","21","49","0.69","49","57","7","9","02:12","42.4","16:57","241","27","74","3","$2.93M","$4.43M","$4.43M"
"TYLER SEGUIN","","R","30","R","DAL","81","24","25","49","0.60","49","50","2","13","02:31","52.4","17:49","218","-21","30","5","$13M","$9.85M","$9.85M"
"ONDREJ PALAT","","L","31","L","N.J","77","18","31","49","0.64","49","52","5","8","02:07","41.0","16:29","142","14","20","5","$5.3M","$5.3M","$5.3M"
"TYLER TOFFOLI","","R","30","R","CGY","74","20","29","49","0.66","49","54","1","16","02:26","51.7","16:18","195","-5","14","2","$5.13M","$4.25M","$4.25M"
"YANNI GOURDE","","C","30","L","SEA","74","21","27","48","0.65","48","53","3","7","01:57","41.7","18:28","127","-14","45","3","$6.3M","$5.17M","$5.17M"
"DYLAN STROME","","C","25","L","WSH","69","22","26","48","0.70","48","57","2","16","02:42","56.1","17:26","126","-6","28","1","$3.6M","$3M","$3M"
"ZACH WERENSKI","","D","25","L","CBJ","68","11","37","48","0.71","48","58","2","14","03:13","72.4","25:40","216","-16","22","6","$7M","$5M","$5M"
"VIKTOR ARVIDSSON","","R","29","R","L.A","66","20","28","48","0.73","48","60","3","8","02:37","53.3","16:59","227","1","22","2","$4.25M","$4.25M","$4.25M"
"NOAH HANIFIN","","D","25","L","CGY","81","10","38","48","0.59","48","49","1","13","01:50","38.5","21:18","189","28","19","2","$4.95M","$4.95M","$4.95M"
"MASON MARCHMENT","","L","27","L","DAL","54","18","29","47","0.87","47","71","2","2","00:52","17.1","14:07","121","29","53","4","$0.8M","$0.8M","$0.8M"
"JOHN KLINGBERG","","D","29","R","","74","6","41","47","0.64","99","52","2","20","02:50","57.9","22:13","139","-28","34","0","$6M","$4.25M","$4.25M"
"JUSTIN FAULK","","D","30","R","STL","76","16","31","47","0.62","47","51","6","7","01:35","34.0","23:12","167","41","43","5","$9M","$6.5M","$6.5M"
"ANDERS LEE","","L","32","L","NYI","76","28","18","46","0.61","46","50","3","13","02:21","58.8","16:38","159","-11","34","4","$9M","$7M","$7M"
"BROCK BOESER","","R","25","R","VAN","71","23","23","46","0.65","46","53","6","17","03:05","64.0","18:36","195","-6","20","3","$7.5M","$5.88M","$5.88M"
"YEGOR SHARANGOVICH","","L","24","L","N.J","76","24","22","46","0.61","46","50","3","3","01:13","26.2","16:30","167","-13","23","1","$1.8M","$2M","$2M"
"JAMIE BENN","","C","33","L","DAL","82","18","28","46","0.56","46","46","2","11","02:03","42.6","16:45","182","-13","88","3","$8.5M","$9.5M","$9.5M"
"DAMON SEVERSON","","D","27","R","N.J","80","11","35","46","0.58","46","47","0","16","02:20","50.8","23:35","159","-14","57","1","$5.05M","$4.17M","$4.17M"
"JACK ROSLOVIC","","C","25","R","CBJ","81","22","23","45","0.56","45","46","4","7","01:32","32.8","14:17","131","1","12","2","$2.5M","$1.84M","$1.84M"
"JEFF CARTER","","C","37","R","PIT","76","19","26","45","0.59","45","49","2","6","02:02","42.5","17:40","200","-8","38","2","$2M","$5.27M","$5.27M"
"KYLE OKPOSO","","R","34","R","BUF","74","21","24","45","0.61","45","50","1","14","01:48","39.2","16:47","174","-15","43","1","$4M","$6M","$6M"
"PAUL STASTNY","","C","36","L","","71","21","24","45","0.63","97","52","2","8","01:44","35.5","17:47","141","15","14","0","$3.75M","$3.75M","$3.75M"
"BRANDON HAGEL","","L","23","L","T.B","77","26","18","44","0.57","44","47","3","6","01:30","29.2","16:21","126","-18","31","2","$1M","$1.5M","$1.5M"
"FREDERICK GAUDREAU","","C","29","R","MIN","76","14","30","44","0.58","44","47","4","3","01:43","33.2","16:19","132","12","8","1","$1M","$1.2M","$1.2M"
"JORDAN EBERLE","","R","32","R","SEA","79","21","23","44","0.56","44","46","2","9","02:45","59.2","17:57","164","-27","14","2","$7M","$5.5M","$5.5M"
"ANTON LUNDELL","","C","20","L","FLA","65","18","26","44","0.68","44","56","4","4","00:41","12.8","15:44","125","33","18","2","$0.93M","$0.93M","$1.78M"
"JOSH BAILEY","","R","32","L","NYI","74","14","30","44","0.59","44","49","1","11","01:33","38.6","16:54","87","-7","6","2","$5M","$5M","$5M"
"ERIK HAULA","","C","31","L","N.J","78","18","26","44","0.56","44","46","3","4","00:57","19.9","15:05","141","19","47","1","$2.25M","$2.38M","$2.38M"
"MACKENZIE WEEGAR","","D","28","R","FLA","80","8","36","44","0.55","44","45","2","3","00:40","13.0","23:22","203","40","81","1","$3M","$3.25M","$3.25M"
"NINO NIEDERREITER","","L","29","L","","75","24","20","44","0.59","92","48","5","5","01:28","34.6","14:50","144","29","34","0","$5.48M","$5.25M","$5.25M"
"BOONE JENNER","","C","29","L","CBJ","59","23","21","44","0.75","44","61","3","10","02:58","68.2","20:28","160","-12","22","4","$3.5M","$3.75M","$3.75M"
"CHARLIE COYLE","","C","30","R","BOS","82","16","28","44","0.54","44","44","5","9","01:53","40.2","17:24","131","-5","32","4","$6M","$5.25M","$5.25M"
"DRAKE BATHERSON","","R","24","R","OTT","46","17","27","44","0.96","44","78","3","14","03:16","63.4","18:56","110","3","32","5","$2.5M","$4.98M","$4.98M"
"ALEX PIETRANGELO","","D","32","R","VGK","80","13","31","44","0.55","44","45","0","13","02:13","50.3","24:39","227","7","42","5","$5M","$8.8M","$8.8M"
